evidence_id,run_id,layer,metric,value,unit,evidence_class,clock_domain,source_file,source_locator,availability,confidence,supports_claim_ids,challenges_claim_ids,limitations,semantic_role,reference_type,distribution_scope,causal_lineage_grade
EV.CLOCK.1211,202607271211,P_CLOCK,cross_host_clock_alignment,unavailable,status,MISSING,cross-host,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_1211_tcps_pa_v4_1/tables/clock_alignment_audit.csv,single scoped audit row,MISSING,HIGH,P_CLOCK.1211,P_CLOCK.1211|C3.1211|C7.1211,no dual-clock history or event-local Bridge apply mapping,CLOCK_ALIGNMENT_GAP,,,
EV.PHASE.1211,202607271211,P_PHASE,active_phase_scan,not performed,status,MISSING,mixed,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_1211_tcps_pa_v4_1/tables/phase_audit.csv,single scoped phase row,MISSING,HIGH,P_PHASE.1211,P_PHASE.1211|C7.1211,one run cannot isolate phase,PHASE_AUDIT_GAP,,,
EV.TARGET.1211,202607271211,P_TARGET,Apollo_target12_lineage,27 Fusion/Prediction/Planning target observations,events,TRACE_LINEAGE,Apollo wall + trace,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/perception.log.INFO.20260727-120942.719157,target=12; first trace=17294096575131288686,AVAILABLE,MEDIUM,P_TARGET.1211|C3.1211,P_TARGET.1211|C6.1211|C7.1211,no CARLA actor truth,TARGET_LINEAGE,,,A_WITHIN_APOLLO_ONLY
EV.FAULT.1211,202607271211,L1/L2,bridge_fixed_delay_actual_wall_ms,300.147747,ms,DIRECT_OBSERVED,Bridge wall/monotonic/CARLA frame,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/scb_control_delay_20260727120915_480783.csv,APPLIED row sequence=1; requested=300 ms; 3 CARLA frames,AVAILABLE,HIGH,C1.1211|C2.1211|C7.1211,,archived APPLIED event predates target event; later commands not individually logged,TEMPORAL_DISTURBANCE_APPLICATION,CONFIGURED_REQUEST,ONE_APPLIED_EVENT_WITH_PERSISTENT_INJECTOR_SEMANTICS,
EV.REACTION.1211,202607271211,L3/L4,T_e2e_data_observed_ms,700.1669406890869,ms,OBSERVED_DERIVED,Apollo wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143,t_sample source epoch to sustained-deceleration t_phys,AVAILABLE,MEDIUM,C3.1211|C4.1211,,"effect bracket [601.118,700.167] ms; demand origin missing",PHYSICAL_REACTION_INTERVAL,,,
EV.CHAIN.1211,202607271211,L3,sensor_to_control_trace_lineage_ms,292.600184,ms,TRACE_LINEAGE,Orin monotonic anchored to source epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/trace/message_context/control.719153.csv,trace=17294096575131288686; parent=72331600066512034,AVAILABLE,HIGH,P_OBSERVABILITY.1211|P_FUNC.1211|C3.1211|C7.1211,,strict lineage ends at Control; Bridge/physical suffix is not event-local,CAUSE_EFFECT_LINEAGE,,,C_FULL_CHAIN_A_SOFTWARE_PREFIX
EV.AGEGAP.1211,202607271211,L2/L3,target_age_and_output_gap,A_tphys=300.471;G_response=97.664;G_full=188.254,ms,OBSERVED_DERIVED,Apollo wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/perception.log.INFO.20260727-120942.719157,27 target observations,AVAILABLE,HIGH,C3.1211,P_FUNC.1211|C7.1211,no architectural A/G threshold; max gap occurs after t_phys,FRESHNESS_CONTINUITY_DIAGNOSTIC,,,
EV.LOCALWAIT.1211,202607271211,L2/L3,ground_to_lidar_detection_wait_ms,38.871424,ms,TRACE_LINEAGE,Orin monotonic,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/trace/events/perception.lidar_detection.719157.csv,parent_trace=72331600066512034,AVAILABLE,HIGH,C3.1211,,"median+6MAD is a research screen, not an architectural contract",LOCAL_TIMING_ANOMALY,WITHIN_RUN_DISTRIBUTION,n=261 matched edges,
EV.FUNC.1211,202607271211,P_FUNC,planning_constant_deceleration_fallback_count,27,events,OBSERVED_DERIVED,Planning log wall epoch,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/planning.log.INFO.20260727-120936.719151,first relevant fallback line 166465,AVAILABLE,HIGH,P_FUNC.1211,P_FUNC.1211|C7.1211,fallback output is nonempty but prevents functional qualification,FUNCTIONAL_DEGRADATION,,,
EV.DRESPONSE.1211,202607271211,L5,D_response_wall_integral_data_observed_m,11.999340611264754,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143,"trapezoid integral of speed over [t_sample,t_phys]",AVAILABLE,HIGH,C5.1211,,sample-relative response distance is not deadline debt,OBSERVED_RESPONSE_DISTANCE,,,
