defeater_id,claim_id,description,type,evidence_ids,status,resolution,residual_risk,impact_on_claim,notes
D_CLOCK.CROSS_HOST.1,P_CLOCK.cross_host,Cross-host offset/drift and phase are unverified.,CLOCK,,UNKNOWN,Requires new independent evidence/audit.,Cross-host offset/drift and phase are unverified.,CAPS_AT_PARTIAL,Not hidden or auto-resolved during v1 migration.
D_TARGET_MISMATCH.CHAIN.2,P_TARGET.all_runs,End-to-end target identity lineage is incomplete.,TARGET_MISMATCH,,UNKNOWN,Requires new independent evidence/audit.,End-to-end target identity lineage is incomplete.,CAPS_AT_PARTIAL,Not hidden or auto-resolved during v1 migration.
D_FUNCTIONAL_FAILURE.CHAIN.3,P_FUNC.all_runs,Functional failure remains an alternative explanation.,FUNCTIONAL_FAILURE,,OPEN,Requires new independent evidence/audit.,Functional failure remains an alternative explanation.,CRITICAL,Not hidden or auto-resolved during v1 migration.
D_SOLVER_FALLBACK.CHAIN.4,P_FUNC.all_runs,Planning infeasible/fallback counters require target-specific interpretation.,SOLVER_FALLBACK,,OPEN,Requires new independent evidence/audit.,Planning infeasible/fallback counters require target-specific interpretation.,CAPS_AT_PARTIAL,Not hidden or auto-resolved during v1 migration.
D_DEADLINE.PROVENANCE.5,P_DEADLINE.all_runs,No independent pre-registered requirement or validated model.,DEADLINE,,OPEN,Requires new independent evidence/audit.,No independent pre-registered requirement or validated model.,CRITICAL,Not hidden or auto-resolved during v1 migration.
D_UPDATE_GAP.REFERENCE.6,C2.all_runs,Gap maximum has no reference distribution or requirement.,UPDATE_GAP,,OPEN,Requires new independent evidence/audit.,Gap maximum has no reference distribution or requirement.,CAPS_AT_PARTIAL,Not hidden or auto-resolved during v1 migration.
D_PHASE.UNTESTED.7,C2.all_runs,Injection phase was not scanned.,PHASE,,UNKNOWN,Requires new independent evidence/audit.,Injection phase was not scanned.,CAPS_AT_PARTIAL,Not hidden or auto-resolved during v1 migration.
D_CLOCK.CROSS_HOST.8,C3.all_runs,Cross-host clock qualification is incomplete.,CLOCK,,UNKNOWN,Requires new independent evidence/audit.,Cross-host clock qualification is incomplete.,CAPS_AT_PARTIAL,Not hidden or auto-resolved during v1 migration.
D_TARGET_MISMATCH.CHAIN.9,C3.all_runs,Target lineage is association-grade only.,TARGET_MISMATCH,,UNKNOWN,Requires new independent evidence/audit.,Target lineage is association-grade only.,CAPS_AT_PARTIAL,Not hidden or auto-resolved during v1 migration.
D_PHASE.UNTESTED.10,C3.all_runs,Phase sensitivity may alter apparent propagation.,PHASE,,UNKNOWN,Requires new independent evidence/audit.,Phase sensitivity may alter apparent propagation.,CAPS_AT_PARTIAL,Not hidden or auto-resolved during v1 migration.
D_DEADLINE.PROVENANCE.11,C4.all_runs,Deadline is retrospective/model-only.,DEADLINE,,OPEN,Requires new independent evidence/audit.,Deadline is retrospective/model-only.,CRITICAL,Not hidden or auto-resolved during v1 migration.
D_BRAKING_CAPABILITY.MODEL.12,C5.all_runs,Braking capability is represented by an in-sample unvalidated model.,BRAKING_CAPABILITY,,OPEN,Requires new independent evidence/audit.,Braking capability is represented by an in-sample unvalidated model.,CRITICAL,Not hidden or auto-resolved during v1 migration.
D_GEOMETRY.COMPARABILITY.13,C5.all_runs,Initial clearance/geometry varies and may affect space budgets.,GEOMETRY,,OPEN,Requires new independent evidence/audit.,Initial clearance/geometry varies and may affect space budgets.,CAPS_AT_PARTIAL,Not hidden or auto-resolved during v1 migration.
D_GEOMETRY.COMPARABILITY.14,C6.all_runs,Geometry variation limits cross-run effect size.,GEOMETRY,,BOUNDED,Requires new independent evidence/audit.,Geometry variation limits cross-run effect size.,QUALIFIES,Not hidden or auto-resolved during v1 migration.
D_INITIAL_CLEARANCE.C7.all_runs,C7.all_runs,Initial clearance may differ independently of the intervention.,INITIAL_CLEARANCE,,OPEN,Requires new independent evidence/audit.,Initial clearance may differ independently of the intervention.,CRITICAL,Not hidden or auto-resolved during v1 migration.
D_INITIAL_SPEED.C7.all_runs,C7.all_runs,Initial/approach speed may independently alter the physical outcome.,INITIAL_SPEED,,OPEN,Requires new independent evidence/audit.,Initial/approach speed may independently alter the physical outcome.,CRITICAL,Not hidden or auto-resolved during v1 migration.
D_BRAKING_CAPABILITY.C7.all_runs,C7.all_runs,C5 braking capability is represented by an in-sample model.,BRAKING_CAPABILITY,,OPEN,Requires new independent evidence/audit.,C5 braking capability is represented by an in-sample model.,CRITICAL,Not hidden or auto-resolved during v1 migration.
D_FUNCTIONAL_FAILURE.C7.all_runs,C7.all_runs,Functional alternatives are unresolved.,FUNCTIONAL_FAILURE,,OPEN,Requires new independent evidence/audit.,Functional alternatives are unresolved.,CRITICAL,Not hidden or auto-resolved during v1 migration.
D_TARGET_MISMATCH.C7.all_runs,C7.all_runs,End-to-end target lineage remains partial.,TARGET_MISMATCH,,UNKNOWN,Requires new independent evidence/audit.,End-to-end target lineage remains partial.,CAPS_AT_PARTIAL,Not hidden or auto-resolved during v1 migration.
D_DATA_FRESHNESS.C7.all_runs,C7.all_runs,Freshness degradation is not independently isolated.,DATA_FRESHNESS,,UNKNOWN,Requires new independent evidence/audit.,Freshness degradation is not independently isolated.,CAPS_AT_PARTIAL,Not hidden or auto-resolved during v1 migration.
D_UPDATE_GAP.C7.all_runs,C7.all_runs,Update-gap evidence lacks a qualified reference distribution.,UPDATE_GAP,,OPEN,Requires new independent evidence/audit.,Update-gap evidence lacks a qualified reference distribution.,CAPS_AT_PARTIAL,Not hidden or auto-resolved during v1 migration.
