defeater_id,claim_id,description,type,evidence_ids,status,resolution,residual_risk,impact_on_claim,notes
D_FUNC.P_FUNC.1131,P_FUNC.1131,Planning speed optimization falls back and command payload continuity is absent.,FUNCTIONAL_FAILURE,EV.FUNC.1131,OPEN,Archive and validate target-specific Control/Bridge payload continuity and fallback safety semantics.,Functional behavior may independently affect braking outcome.,CAPS_AT_PARTIAL,
D_DEADLINE.P_DEADLINE.1131,P_DEADLINE.1131,Independent t_demand is absent and baseline model parameters were not prospectively locked or domain-validated.,DEADLINE_PROVENANCE,EV.NODEADLINE.1131|EV.TIMESEM.1131|EV.MODELDEADLINE.1131,OPEN,"Provide a scenario demand predicate and prospectively locked, independently validated parameter envelope.",Only sample-origin model-supported timing evidence is available.,INVALIDATES,
D_PAYLOAD.C3.1131,C3.1131,Strict lineage ends at Control output; event-local Bridge payload/apply row is absent.,LINEAGE_GAP,EV.CHAIN.1131,OPEN,Enable per-command event-local Bridge logging and archive Control payloads.,Physical t2 is only Grade C-associated with the exact command.,CAPS_AT_PARTIAL,
D_DEADLINE.C4.1131,C4.1131,No qualified demand-origin tau_req exists; sample-origin residual budgets are model-supported only.,DEADLINE_PROVENANCE,EV.NODEADLINE.1131|EV.MODELDEADLINE.1131,OPEN,Construct and validate a prospective demand-origin deadline independently of this outcome.,Primary observed miss time is not testable; sample-origin model miss is only diagnostic.,INVALIDATES,
D_INITIAL_CLEARANCE.C7.1131,C7.1131,C7 alternative/limitation: initial clearance.,INITIAL_CLEARANCE,EV.REACTION.1131,OPEN,D1 is observed after pre-event fault exposure but no qualified safe threshold exists.,Attribution remains limited.,CAPS_AT_PARTIAL,
D_INITIAL_SPEED.C7.1131,C7.1131,C7 alternative/limitation: initial speed.,INITIAL_SPEED,EV.REACTION.1131,OPEN,v1 is observed after 25.997 s of active delay and can mediate outcome severity.,Attribution remains limited.,CAPS_AT_PARTIAL,
D_BRAKING_CAPABILITY.C7.1131,C7.1131,C7 alternative/limitation: braking capability.,BRAKING_CAPABILITY,EV.COLLISION.1131,OPEN,Collision right-censors a full stopping trajectory; independent braking capability is absent.,Attribution remains limited.,CAPS_AT_PARTIAL,
D_FUNCTIONAL_FAILURE.C7.1131,C7.1131,C7 alternative/limitation: functional failure.,FUNCTIONAL_FAILURE,EV.FUNC.1131,OPEN,Planning fallback and missing command semantics remain viable contributors.,Attribution remains limited.,CAPS_AT_PARTIAL,
D_TARGET_MISMATCH.C7.1131,C7.1131,C7 alternative/limitation: target mismatch.,TARGET_MISMATCH,EV.TARGET.1131,RESOLVED,Twenty matched frames and target-consistent STOP support actor identity.,Bounded by cited evidence.,BOUNDED,
D_DATA_FRESHNESS.C7.1131,C7.1131,C7 alternative/limitation: data freshness.,DATA_FRESHNESS,EV.FRESH.1131|EV.POSTGAP.1131,OPEN,Age at t2 and late lifecycle peaks remain unqualified but potentially relevant.,Attribution remains limited.,CAPS_AT_PARTIAL,
D_UPDATE_GAP.C7.1131,C7.1131,C7 alternative/limitation: update gap.,UPDATE_GAP,EV.POSTGAP.1131,OPEN,"507.439 ms gap is after t2: refuted for initial response, unresolved for continuing braking.",Attribution remains limited.,CAPS_AT_PARTIAL,
D_SOLVER_FALLBACK.C7.1131,C7.1131,C7 alternative/limitation: solver fallback.,SOLVER_FALLBACK,EV.FUNC.1131,OPEN,Twenty speed/constant-deceleration fallback events are observed.,Attribution remains limited.,CAPS_AT_PARTIAL,
D_CLOCK.C7.1131,C7.1131,C7 alternative/limitation: clock.,CLOCK,EV.CLOCK.1131,BOUNDED,p95 residual is 0.661 ms and does not change event ordering.,Bounded by cited evidence.,BOUNDED,
D_PHASE.C7.1131,C7.1131,C7 alternative/limitation: phase.,PHASE,EV.PHASE.1131,OPEN,No active phase scan exists.,Attribution remains limited.,CAPS_AT_PARTIAL,
D_PREHAZARD_STATE.C7.1131,C7.1131,C7 alternative/limitation: prehazard state.,PREHAZARD_STATE,EV.FAULT.1131|EV.REACTION.1131,OPEN,The delay was already active 25.997 s before t1; D1/v1 are post-treatment states.,Attribution remains limited.,CAPS_AT_PARTIAL,
D_GEOMETRY.C7.1131,C7.1131,C7 alternative/limitation: geometry.,GEOMETRY,EV.TARGET.1131,OPEN,Fusion-to-actor median position error and 0.52 m offset uncertainty limit metric reconciliation.,Attribution remains limited.,CAPS_AT_PARTIAL,
D_OUTCOME_CONFLICT.C7.1131,C7.1131,C7 alternative/limitation: outcome conflict.,OUTCOME_CONFLICT,EV.COLLISION.1131,RESOLVED,Direct collision event and actor history agree on actor 155 and impact speed.,Bounded by cited evidence.,BOUNDED,
