claim_id,layer,run_id_or_group,proposition,prerequisite_claim_ids,required_evidence_classes,supporting_evidence_ids,challenging_evidence_ids,defeater_ids,inference_rule_id,verdict,confidence,confidence_ceiling,maximum_claim_level,residual_uncertainty,allowed_language,forbidden_language,causal_lineage_grade,gate_inputs,gate_metrics,admissible_evidence,gate_criterion,next_gate_condition
P_CLOCK.1131,P_CLOCK,202607271131,The event timing domains are sufficiently aligned for this event-chain ordering and millisecond intervals.,,OBSERVED_DERIVED,EV.CLOCK.1131,,,IR-P-CLOCK,PASS,HIGH,HIGH,3,"p95 alignment residual is a bound, not zero error.",Clock alignment supports event ordering and interval measurement.,All timestamps are exact and error-free.,,EV.CLOCK.1131,p95 residual <= 1 ms with stable mapping,OBSERVED_DERIVED,p95 residual <= 1 ms with stable mapping,Preserve endpoint uncertainty in physical interpretation.
P_PHASE.1131,P_PHASE,202607271131,A phase effect has been actively tested and isolated.,,,,EV.PHASE.1131,,IR-P-PHASE,NOT_TESTABLE,NONE,NONE,1,No active phase scan or matched repeats.,Tick/phase is an unresolved alternative.,Phase is the root cause.,,,active phase scan with matched repeats,,active phase scan with matched repeats,Collect controlled phase-offset repeats.
P_TARGET.1131,P_TARGET,202607271131,Fusion/Prediction/Planning target 11 corresponds to CARLA collision actor 155.,,TRACE_LINEAGE,EV.TARGET.1131,,,IR-P-TARGET,PASS,HIGH,HIGH,3,CARLA other-actor history starts 399.215 ms after t1.,Target identity is strongly supported across 20 matched frames.,Target identity is mathematically exact at t1.,,EV.TARGET.1131,explicit trace plus multi-frame actor association,TRACE_LINEAGE,explicit trace plus multi-frame actor association,Archive pre-t1 other-actor history for full t1 ground truth.
P_FUNC.1131,P_FUNC,202607271131,Relevant functional behavior is fully qualified and does not independently explain the outcome.,P_TARGET.1131,OBSERVED_DERIVED,EV.FUNC.1131|EV.CHAIN.1131,EV.FUNC.1131,D_FUNC.P_FUNC.1131,IR-P-FUNC,PARTIAL,MEDIUM,MEDIUM,2,Planning fallback and absent Control/Bridge payload continuity keep functionality unresolved.,"The STOP chain exists, but functional correctness remains partial.","functionally correct, temporally wrong|功能正确但时间错误",,EV.FUNC.1131|EV.CHAIN.1131,target-correct valid trajectory and command/apply continuity,OBSERVED_DERIVED,target-correct valid trajectory and command/apply continuity,Archive parsed record and event-local Control/Bridge payloads; resolve fallback semantics.
P_DEADLINE.1131,P_DEADLINE,202607271131,An independently qualified prospective dynamic physical deadline is available.,P_TARGET.1131,INDEPENDENT_REQUIREMENT,EV.NODEADLINE.1131,EV.NODEADLINE.1131,D_DEADLINE.P_DEADLINE.1131,IR-P-DEADLINE,NOT_TESTABLE,LOW,LOW,1,No independent braking envelope or pre-t1 locked safety policy.,Primary tau_req is unavailable for this run.,The run missed its physical safety deadline.,,EV.NODEADLINE.1131,qualified prospective construction with uncertainty bounds,INDEPENDENT_REQUIREMENT,qualified prospective construction with uncertainty bounds,Provide independently validated braking bounds and locked safety buffer.
C1.1131,L1,202607271131,A 300 ms Bridge fixed-delay stressor was actually applied before the selected event.,,DIRECT_OBSERVED,EV.FAULT.1131,,,IR-C1,PASS,HIGH,HIGH,3,Only the first applied command is logged; persistence follows deployed implementation semantics.,The external Bridge temporal stressor entered the system.,Apollo has an intrinsic real-time defect.,,EV.FAULT.1131,APPLIED row with actual delay,DIRECT_OBSERVED,APPLIED row with actual delay,Per-command logging is required for event-local propagation strength.
C2.1131,L2,202607271131,The configured Bridge delay manifested as a measured local delay event.,C1.1131,DIRECT_OBSERVED,EV.FAULT.1131|EV.FRESH.1131,,,IR-C2,PASS,HIGH,HIGH,3,Freshness quantities have no qualified local requirement; the Bridge delay itself has an explicit 300 ms reference.,A measured local Bridge delay manifestation is established.,All observed age/gap values are requirement violations.,,EV.FAULT.1131|EV.FRESH.1131,actual delay against configured request,DIRECT_OBSERVED,actual delay against configured request,Add local freshness/gap requirements for A/G verdicts.
C3.1131,L3,202607271131,The target instance propagates from source through Control and is temporally associated with physical t2.,C1.1131|C2.1131|P_CLOCK.1131|P_TARGET.1131,TRACE_LINEAGE,EV.CHAIN.1131|EV.REACTION.1131|EV.FRESH.1131,,D_PAYLOAD.C3.1131,IR-C3,PARTIAL_PASS,MEDIUM,MEDIUM,3,Grade A lineage stops at Control output; Control-to-physical link is Grade C.,Strict software propagation and system-level physical association are supported.,The exact event-local command payload caused t2.,C,EV.CHAIN.1131|EV.REACTION.1131|EV.FRESH.1131,same-trace source-to-Control plus aligned physical effect,TRACE_LINEAGE,same-trace source-to-Control plus aligned physical effect,Archive event-local Bridge apply and Control payload to upgrade full-chain lineage.
C4.1131,L4,202607271131,Observed physical reaction time violated a qualified dynamic temporal contract.,C3.1131|P_DEADLINE.1131,OBSERVED_DERIVED,EV.REACTION.1131|EV.NODEADLINE.1131,EV.NODEADLINE.1131,D_DEADLINE.C4.1131,IR-C4,NOT_TESTABLE,LOW,LOW,1,"T_R is observed, but tau_req is not qualified.",Observed contract status is not testable for this run.,A collision proves a deadline miss.|The 799.636 ms response is a deadline violation.,,EV.REACTION.1131|EV.NODEADLINE.1131,observed T_R compared with qualified tau_req interval,OBSERVED_DERIVED,observed T_R compared with qualified tau_req interval,Qualify an independent prospective deadline.
C5.1131,L5,202607271131,A requirement-constrained deadline-excess distance debt is established.,C4.1131,REQUIREMENT_CONSTRAINED_DERIVED,EV.DRESPONSE.1131,EV.NODEADLINE.1131,,IR-C5,NOT_TESTABLE,LOW,LOW,1,D_response is observed; primary D_debt requires qualified tau_req and is unavailable.,"13.432 m is observed response distance, not deadline-excess debt.",13.432 m is timing-caused safety loss.|13.432 m is deadline debt.,,EV.DRESPONSE.1131,qualified C4 miss plus wall-clock velocity integration after deadline,REQUIREMENT_CONSTRAINED_DERIVED,qualified C4 miss plus wall-clock velocity integration after deadline,"Qualify tau_req, then recompute D_debt from the saved velocity path."
